cover,10.336517454820344
payout,9.171003919915506
29,8.984012570187259
conduct,8.722155375999485
concentr,8.7142356579949
septemb,8.58169814338529
85,8.580795324423091
heavili,8.456052976880718
unpreced,8.450510538745736
origin,8.334178487488206
blackrock,8.301818793813652
princip,8.277513834322948
schneiderman,8.25340219759358
mellon,8.227381977688633
hurt,8.211941532365866
settlement,8.150075718341373
contact,8.148805840768041
sour,8.141759631321099
confirm,8.063258387116665
doubt,7.9368773981904335
payment,7.907876804539083
refer,7.896719397375056
addit,7.861963978047699
prefer,7.820572553592996
favor,7.814360069779027
qualiti,7.75516652949961
outstand,7.745374234691657
pool,7.549902810293106
ten,7.529284076416122
weren,7.517231862479972
ensur,7.511549927798216
fraud,7.501315191649268
vulner,7.490013190778253
determin,7.451603195569862
swap,7.449079440084108
cooper,7.445465700818431
recoveri,7.433037563180614
underwrit,7.394011245497542
countrywid,7.331277719978092
thousand,7.326736304465165
gaug,7.299429799430442
grant,7.27336233231076
entiti,7.269534455452348
violat,7.267082179184138
regulatori,7.225560402903826
foreclosur,7.2164040113986445
merril,7.165889407876973
lynch,7.165889407876973
nc,7.064231843295549
aig,7.064133779145693
give,7.060543832093651
fridai,7.06014477798842
lead,7.031038709195341
stand,7.02691093178457
charlott,7.025789865816019
wouldn,6.999722721172752
quiet,6.973025374438111
emerg,6.971150186749871
partli,6.960278992872005
fact,6.939303370828065
substanti,6.933497872358262
earli,6.92868168779713
deriv,6.897232586168674
unlik,6.896001435150032
address,6.884552146819082
unclear,6.883067762757794
liabil,6.870351505134481
anticip,6.86220763982604
name,6.86019131797669
suffer,6.855203837987643
brother,6.842350043180707
mac,6.835924152024453
ratio,6.835135704569036
seri,6.818490457983596
properti,6.81670443642688
fight,6.8155683456263345
sharpli,6.7939779321125675
indic,6.788863871432996
fals,6.779742436821827
list,6.767143152232305
litig,6.748548353925972
japan,6.739085360564259
summer,6.730002638444269
spring,6.697123717933995
updat,6.6963034400826436
sheet,6.677868166488363
handl,6.6642517788652285
materi,6.654832166703986
back,6.654152881376945
freddi,6.649772188601138
ow,6.640944994322891
benefit,6.6405019886015495
advanc,6.62974368762896
repeat,6.626124391824847
propos,6.625404730188058
understand,6.623949429806662
event,6.616663297386695
bofa,6.607001739703988
respons,6.601286678505916
import,6.5780013658449965
emphas,6.572392830988713
acknowledg,6.556646062069963
paper,6.553009492521995
institut,6.55022657431939
aim,6.534687999889115
hasn,6.534163189484563
track,6.531778426418465
broader,6.531721318710612
jame,6.526896784863242
default,6.526044901271883
abl,6.519857623862533
add,6.51803069864473
suit,6.494558167940856
jpmorgan,6.49285230857718
panic,6.491612187043379
natur,6.490537982335603
watch,6.486067815519657
interview,6.470908506505501
regular,6.467977458704015
led,6.454135644187475
adjust,6.447953506929419
design,6.440826175498913
bailout,6.4397946409285725
collaps,6.435968932457544
health,6.428400785720052
claim,6.413167080160192
lehman,6.411954657588552
aid,6.405111906074858
complaint,6.396264701162883
outlook,6.391672288229856
attornei,6.386298305735043
loss,6.384376887240511
insur,6.382790542307302
eric,6.382757682472203
lost,6.379185411931655
person,6.37243683203204
file,6.372244143775386
arm,6.371487211907321
percent,6.367744406826497
especi,6.365748502516033
count,6.363331849255118
june,6.356099675820736
novemb,6.352118821883298
settl,6.342595133849645
mutual,6.325080077511503
35,6.319140046147544
prove,6.314878608032184
alli,6.303447652921482
assur,6.301391856837629
purchas,6.296803302164155
action,6.281284169043383
investig,6.26540114695056
activ,6.25967837314438
hundr,6.250001443845532
domest,6.2495001298813495
cash,6.244084205300752
woe,6.242142817234084
control,6.227212013579201
sharehold,6.223286212647607
properli,6.22308519847476
construct,6.222940622534208
local,6.221122808881162
agre,6.218136992669166
averag,6.21736618421632
commit,6.2149017887617
troubl,6.213819075396793
subprim,6.206069811711949
counti,6.199244618201297
judg,6.1964281002759405
geithner,6.194611965633595
predict,6.190514741086778
repres,6.1887702592712825
break,6.1884641919074
mortgag,6.1816067926327305
fell,6.178697787795013
role,6.169938881725265
90,6.163321322023764
reach,6.16083166750793
appropri,6.160746489254498
fallen,6.158584172837464
rais,6.1514362897962025
bought,6.151006522574652
result,6.141688506390554
expens,6.1346370322456005
moment,6.118880534447396
downgrad,6.112411968162184
loan,6.105062395864568
focus,6.103843706311648
lack,6.095012643747116
37,6.0873525699661695
fanni,6.085664328937207
mae,6.085664328937207
collater,6.083211680466743
reduct,6.077100914595893
appear,6.076088182767258
progress,6.071586776679086
far,6.068564150553111
exposur,6.067707970439879
basi,6.066578417716124
uncertainti,6.042935317927983
invit,6.039864609879791
repurchas,6.038305470214723
maker,6.034393941756005
brian,6.032987228583225
measur,6.032117831340287
robert,6.026984856633862
selloff,6.021600520007704
highli,6.020666739030386
17,6.018934508768219
recov,6.017101336383709
hand,6.016899904371586
taken,6.016763059696516
particularli,6.015477578577616
downturn,6.009179184315999
liquid,6.0071004223280395
confid,6.006454743213487
total,6.004923487510344
broad,6.0038231007226965
highest,6.003085757642611
began,6.000342564502696
cent,6.000246269501727
sold,5.998694396888194
fail,5.994567791086716
critic,5.992576619281713
condit,5.99148415490471
alleg,5.980508705340657
link,5.979818390849663
tumbl,5.9779900700176105
paid,5.976593075525937
disclosur,5.973995053462978
author,5.971189228322403
hope,5.967534739620669
impact,5.956876547737433
moynihan,5.956048339464299
fairholm,5.948454866771602
50,5.943483899204441
ultim,5.936176073700956
competit,5.935252422228695
quarterli,5.93448209730926
bulk,5.931071444680972
flow,5.93082320572528
weigh,5.927826033758011
call,5.926267682616803
littl,5.922859682770467
negoti,5.9166455612530315
